Volume,Open,Close,High,Low
1762,1.07524,1.07506,1.07581,1.07433
1215,1.07508,1.07465,1.07557,1.07424
1026,1.07468,1.07406,1.07468,1.07342
1308,1.07408,1.07369,1.07449,1.07336
1054,1.07372,1.07335,1.07438,1.07304
3044,1.07338,1.07133,1.0734,1.07086
2469,1.07131,1.0729,1.07322,1.07056
2498,1.07288,1.07388,1.074,1.07134
1457,1.0739,1.07306,1.07428,1.07292
1023,1.07308,1.0735,1.0743,1.07292
1332,1.07348,1.0743,1.07462,1.0729
800,1.07428,1.07475,1.07532,1.0742
606,1.07472,1.07506,1.0755,1.07431
180,1.07508,1.07504,1.07541,1.07498
327,1.07494,1.07481,1.07506,1.07443
245,1.07478,1.07434,1.07493,1.07415
975,1.07432,1.07308,1.07446,1.07262
974,1.07305,1.07302,1.0733,1.0721
722,1.073,1.07227,1.07358,1.07226
1019,1.07224,1.0708,1.07242,1.07042
661,1.07083,1.07098,1.07132,1.07056
482,1.07101,1.07128,1.07138,1.07074
888,1.07124,1.06935,1.07131,1.06914
1783,1.06938,1.06818,1.06997,1.06808
2384,1.06816,1.06742,1.06842,1.06615
1196,1.0674,1.066,1.06748,1.06562
1020,1.06598,1.06682,1.06725,1.06578
1009,1.0668,1.06718,1.0674,1.06618
1109,1.0672,1.06768,1.06862,1.0672
1159,1.06765,1.06758,1.06786,1.06645
1541,1.06755,1.0672,1.06796,1.06682
1661,1.06719,1.06854,1.06876,1.06629
1781,1.06857,1.06899,1.06939,1.06804
